iter	Passed	Remaining
0	2	2132
1	4	2317
2	6	2226
3	8	2144
4	10	2110
5	12	2071
6	14	2030
7	16	2041
8	18	2059
9	20	2054
10	23	2089
11	25	2068
12	26	2044
13	28	2022
14	30	2018
15	33	2032
16	34	2018
17	37	2020
18	38	2011
19	40	1999
20	43	2009
21	45	2016
22	47	2023
23	50	2050
24	52	2037
25	53	2021
26	55	2013
27	57	2003
28	59	2005
29	61	1993
30	64	2000
31	65	1990
32	67	1979
33	69	1972
34	71	1974
35	73	1976
36	75	1972
37	77	1970
38	79	1959
39	81	1947
40	83	1953
41	85	1946
42	86	1936
43	88	1926
44	90	1926
45	92	1917
46	94	1906
47	95	1900
48	98	1902
49	99	1895
50	101	1886
51	103	1881
52	105	1877
53	106	1869
54	108	1862
55	110	1861
56	112	1858
57	114	1851
58	115	1848
59	117	1844
60	119	1838
61	121	1833
62	123	1840
63	125	1835
64	127	1829
65	128	1823
66	130	1823
67	132	1818
68	134	1814
69	136	1808
70	138	1808
71	139	1803
72	141	1797
73	143	1796
74	145	1793
75	147	1789
76	148	1784
77	151	1787
78	152	1782
79	154	1777
80	156	1778
81	158	1775
82	160	1771
83	161	1766
84	164	1769
85	166	1765
86	168	1764
87	169	1761
88	171	1760
89	173	1755
90	175	1750
91	177	1753
92	179	1754
93	181	1750
94	184	1757
95	186	1756
96	188	1752
97	189	1748
98	191	1745
99	193	1744
100	195	1741
101	197	1741
102	199	1738
103	201	1735
104	203	1731
105	205	1729
106	207	1729
107	208	1725
108	210	1723
109	212	1721
110	214	1717
111	216	1718
112	220	1727
113	221	1724
114	223	1720
115	225	1717
116	227	1714
117	228	1710
118	230	1707
119	233	1708
120	234	1705
121	236	1700
122	238	1700
123	240	1697
124	241	1693
125	244	1693
126	246	1692
127	247	1688
128	249	1684
129	251	1685
130	253	1681
131	255	1677
132	256	1674
133	259	1674
134	260	1671
135	262	1667
136	264	1664
137	266	1662
138	267	1659
139	269	1655
140	272	1657
141	273	1654
142	275	1650
143	277	1647
144	279	1647
145	281	1643
146	282	1640
147	285	1641
148	286	1638
149	288	1635
150	290	1631
151	292	1632
152	294	1629
153	296	1626
154	298	1626
155	299	1623
156	301	1619
157	303	1616
158	305	1616
159	307	1613
160	309	1610
161	311	1609
162	313	1608
163	315	1607
164	316	1603
165	318	1602
166	320	1599
167	322	1597
168	324	1596
169	326	1595
170	328	1592
171	330	1589
172	332	1588
173	334	1586
174	335	1583
175	337	1581
176	339	1579
177	341	1576
178	343	1573
179	344	1571
180	347	1570
181	348	1568
182	350	1565
183	352	1564
184	354	1563
185	356	1560
186	358	1559
187	360	1557
188	362	1554
189	363	1551
190	365	1550
191	367	1547
192	369	1544
193	371	1543
194	386	1593
195	388	1592
196	390	1591
197	392	1590
198	394	1589
199	397	1588
200	399	1586
201	401	1585
202	403	1582
203	405	1580
204	407	1579
205	409	1576
206	411	1574
207	413	1574
208	415	1572
209	417	1569
210	419	1566
211	421	1565
212	423	1563
213	424	1560
214	427	1559
215	429	1557
216	431	1557
217	434	1557
218	436	1555
219	437	1552
220	439	1550
221	441	1548
222	443	1546
223	446	1545
224	447	1543
225	449	1539
226	451	1537
227	453	1534
228	454	1531
229	456	1528
230	458	1525
231	460	1524
232	462	1521
233	464	1519
234	466	1517
235	468	1515
236	469	1512
237	471	1509
238	473	1508
239	475	1505
240	477	1503
241	479	1500
242	481	1499
243	482	1495
244	484	1492
245	485	1489
246	491	1499
247	494	1498
248	495	1495
249	497	1492
250	499	1489
251	500	1486
252	502	1484
253	504	1481
254	506	1479
255	508	1477
256	510	1474
257	511	1471
258	513	1469
259	515	1467
260	517	1464
261	519	1462
262	521	1460
263	522	1457
264	524	1455
265	526	1452
266	528	1450
267	530	1447
268	531	1445
269	533	1443
270	535	1441
271	537	1438
272	539	1435
273	541	1434
274	542	1431
275	544	1428
276	546	1426
277	548	1424
278	550	1421
279	551	1419
280	553	1416
281	555	1414
282	557	1412
283	559	1410
284	561	1408
285	563	1406
286	564	1403
287	566	1400
288	569	1399
289	570	1397
290	572	1394
291	574	1393
292	576	1390
293	578	1388
294	579	1385
295	582	1384
296	583	1381
297	585	1379
298	587	1376
299	589	1375
300	591	1373
301	592	1370
302	595	1368
303	596	1366
304	598	1363
305	600	1361
306	602	1359
307	604	1357
308	606	1355
309	607	1352
310	609	1350
311	611	1347
312	613	1345
313	614	1343
314	616	1341
315	618	1339
316	620	1337
317	622	1334
318	624	1332
319	625	1329
320	627	1327
321	629	1326
322	631	1323
323	633	1321
324	635	1318
325	637	1317
326	638	1314
327	640	1312
328	642	1310
329	644	1308
330	646	1305
331	647	1303
332	650	1302
333	651	1300
334	653	1297
335	655	1295
336	657	1293
337	659	1290
338	660	1288
339	662	1286
340	665	1285
341	667	1284
342	670	1284
343	672	1282
344	674	1279
345	675	1277
346	677	1275
347	679	1272
348	681	1270
349	682	1268
350	684	1266
351	686	1264
352	688	1261
353	690	1260
354	692	1257
355	694	1255
356	696	1254
357	698	1251
358	699	1249
359	701	1247
360	704	1246
361	705	1243
362	707	1241
363	709	1240
364	711	1238
365	713	1235
366	715	1233
367	717	1232
368	719	1230
369	721	1227
370	723	1226
371	725	1223
372	726	1221
373	728	1219
374	730	1217
375	732	1215
376	734	1213
377	735	1210
378	737	1208
379	739	1206
380	740	1203
381	742	1200
382	744	1199
383	746	1196
384	747	1194
385	749	1192
386	751	1189
387	752	1187
388	754	1185
389	756	1183
390	758	1181
391	760	1179
392	762	1176
393	764	1175
394	765	1172
395	767	1170
396	769	1168
397	771	1166
398	773	1164
399	774	1162
400	776	1160
401	779	1158
402	781	1157
403	782	1155
404	785	1153
405	786	1151
406	788	1148
407	790	1147
408	792	1145
409	794	1143
410	796	1140
411	798	1139
412	799	1136
413	801	1134
414	803	1132
415	805	1130
416	807	1128
417	809	1126
418	811	1125
419	813	1122
420	814	1120
421	816	1118
422	818	1116
423	820	1114
424	822	1112
425	824	1110
426	825	1108
427	827	1105
428	829	1103
429	831	1102
430	833	1100
431	835	1098
432	836	1095
433	839	1094
434	840	1092
435	842	1089
436	844	1088
437	846	1086
438	848	1083
439	849	1081
440	852	1080
441	853	1077
442	855	1075
443	857	1073
444	859	1072
445	861	1069
446	863	1067
447	865	1065
448	866	1063
449	868	1061
450	870	1060
451	873	1058
452	875	1057
453	877	1055
454	880	1054
455	882	1052
456	885	1051
457	887	1050
458	889	1048
459	892	1047
460	894	1045
461	896	1043
462	898	1042
463	901	1040
464	903	1039
465	905	1037
466	907	1036
467	910	1034
468	912	1033
469	915	1031
470	917	1030
471	919	1029
472	922	1027
473	924	1026
474	927	1025
475	929	1023
476	931	1021
477	934	1020
478	936	1019
479	939	1017
480	941	1016
481	944	1014
482	946	1013
483	948	1011
484	950	1009
485	953	1008
486	955	1006
487	957	1005
488	960	1003
489	962	1001
490	964	999
491	966	998
492	968	996
493	971	994
494	973	993
495	976	991
496	978	989
497	980	988
498	982	986
499	984	984
500	986	982
501	988	981
502	991	979
503	993	978
504	995	976
505	998	974
506	1001	973
507	1003	971
508	1005	969
509	1007	968
510	1009	966
511	1011	964
512	1014	962
513	1016	961
514	1018	959
515	1020	957
516	1023	956
517	1025	954
518	1028	952
519	1029	950
520	1031	948
521	1032	945
522	1034	943
523	1036	941
524	1038	939
525	1040	937
526	1041	935
527	1043	932
528	1045	930
529	1047	928
530	1049	927
531	1051	924
532	1053	922
533	1055	920
534	1056	918
535	1058	916
536	1060	914
537	1062	912
538	1064	910
539	1066	908
540	1068	906
541	1070	904
542	1071	902
543	1074	900
544	1076	898
545	1077	896
546	1079	894
547	1081	892
548	1083	889
549	1085	887
550	1087	885
551	1089	883
552	1090	881
553	1092	879
554	1094	877
555	1096	875
556	1098	873
557	1100	871
558	1102	869
559	1103	867
560	1105	864
561	1107	863
562	1109	861
563	1110	858
564	1112	856
565	1114	854
566	1116	852
567	1118	850
568	1119	848
569	1122	846
570	1124	844
571	1126	842
572	1128	840
573	1129	838
574	1131	836
575	1133	834
576	1135	832
577	1137	830
578	1139	828
579	1140	826
580	1142	824
581	1144	821
582	1146	819
583	1148	818
584	1150	816
585	1152	814
586	1154	812
587	1155	809
588	1157	807
589	1159	805
590	1161	803
591	1163	801
592	1164	799
593	1166	797
594	1168	795
595	1170	793
596	1171	791
597	1173	789
598	1175	786
599	1177	784
600	1178	782
601	1180	780
602	1182	778
603	1184	776
604	1186	774
605	1187	772
606	1189	770
607	1191	768
608	1193	766
609	1195	764
610	1197	762
611	1198	760
612	1200	758
613	1202	755
614	1204	753
615	1205	751
616	1207	749
617	1209	747
618	1211	745
619	1212	743
620	1214	741
621	1216	739
622	1218	737
623	1219	735
624	1222	733
625	1224	731
626	1226	729
627	1228	727
628	1230	725
629	1232	723
630	1234	721
631	1236	719
632	1238	717
633	1239	715
634	1241	713
635	1243	711
636	1245	709
637	1246	707
638	1248	705
639	1250	703
640	1252	701
641	1253	699
642	1256	697
643	1257	695
644	1259	693
645	1261	691
646	1263	689
647	1265	687
648	1267	685
649	1269	683
650	1271	681
651	1272	679
652	1274	677
653	1276	675
654	1278	673
655	1280	671
656	1283	669
657	1285	667
658	1287	666
659	1289	664
660	1292	662
661	1294	661
662	1297	659
663	1299	657
664	1302	655
665	1304	654
666	1306	652
667	1308	650
668	1310	648
669	1313	646
670	1315	644
671	1317	643
672	1319	641
673	1321	639
674	1323	637
675	1325	635
676	1327	633
677	1330	631
678	1333	630
679	1335	628
680	1338	626
681	1340	624
682	1342	623
683	1344	621
684	1346	619
685	1349	617
686	1351	615
687	1353	613
688	1355	611
689	1357	609
690	1359	607
691	1361	606
692	1364	604
693	1366	602
694	1368	600
695	1371	598
696	1373	597
697	1375	595
698	1378	593
699	1380	591
700	1382	589
701	1385	588
702	1387	586
703	1389	584
704	1391	582
705	1393	580
706	1395	578
707	1398	576
708	1401	575
709	1403	573
710	1406	571
711	1408	569
712	1411	568
713	1413	566
714	1416	564
715	1418	562
716	1420	560
717	1422	558
718	1425	557
719	1427	555
720	1429	553
721	1432	551
722	1434	549
723	1436	547
724	1438	545
725	1440	543
726	1442	541
727	1444	539
728	1445	537
729	1447	535
730	1449	533
731	1451	531
732	1453	529
733	1455	527
734	1457	525
735	1459	523
736	1460	521
737	1462	519
738	1464	517
739	1466	515
740	1468	513
741	1469	511
742	1471	509
743	1473	507
744	1475	505
745	1477	503
746	1479	500
747	1480	498
748	1482	496
749	1485	495
750	1487	493
751	1488	491
752	1490	488
753	1492	486
754	1494	484
755	1495	482
756	1497	480
757	1499	478
758	1501	476
759	1502	474
760	1505	472
761	1506	470
762	1508	468
763	1510	466
764	1511	464
765	1513	462
766	1515	460
767	1516	458
768	1519	456
769	1521	454
770	1522	452
771	1524	450
772	1526	448
773	1528	446
774	1529	444
775	1531	442
776	1533	440
777	1535	438
778	1537	436
779	1539	434
780	1540	432
781	1542	430
782	1544	427
783	1546	425
784	1548	424
785	1549	421
786	1551	419
787	1553	417
788	1555	415
789	1556	413
790	1558	411
791	1560	409
792	1562	407
793	1563	405
794	1566	403
795	1567	401
796	1569	399
797	1571	397
798	1573	395
799	1575	393
800	1576	391
801	1578	389
802	1580	387
803	1582	385
804	1584	383
805	1586	381
806	1588	379
807	1589	377
808	1591	375
809	1593	373
810	1595	371
811	1597	369
812	1599	367
813	1600	365
814	1602	363
815	1604	361
816	1606	359
817	1607	357
